Item,Seleção,Preço Unitário,Unidades,Custo,URL
Esp32,Eletrônica,,,0,
Raspberry 3 Pi - Model B,Eletrônica,,11,0,
Filamento ABS Premium - Branco (1kg),Mecânica,1,3,3,
"Rodas ",Mecânica,,52,0,
"Bateria Litio 1,5 V (2200mAh)",Eletrônica,,19,0,
Regulador Lm2596,Eletrônica,,6,0,
Ponte H - L298N,Eletrônica,,13,0,
Motor Ruim,,,51,0,
Suporte dos Corpo,,,24,0,
Sensor de Distancia,,,12,0,
Encaixe do Chip da Esp32,,,12,0,
LM1117T,,,9,0,
Suporte de Baterias (não utilizavel) +  Peças pequenas mecânica,,,13,0,
Sensor de Linha,,,9,0,
